address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,zip_code_num
"Ved Volden 5, 5. TV",1049 København K,4000000,1992-05-23,Alm. Salg,43956,3,Lejlighed,91,1938,0,1049
"Rådhusstræde 4C, 1",1049 København K,4895000,1992-05-18,Alm. Salg,46619,3,Lejlighed,105,1796,0,1049
